Date,Open,High,Low,Close,Volume,VWAP,TWAP,GWA_BTC
2014-04-01,467.27616213,488.62262576,467.27616213,479.56253758,74776.47884546,482.75743985,482.81552999,479.56253758
2014-04-02,479.19670871,494.29793349,431.31802927,437.07873479,114052.96112562,460.19242,465.93246647,437.07873479
2014-04-03,437.32653497,449.73809389,414.40617913,445.59703844,91415.08017749,432.28588464,433.28284059,445.59703844
2014-04-04,445.17960266,456.10045923,429.16150653,449.81125887,51147.27201926,443.45808586,443.92530961,449.81125887
2014-04-05,450.08019976,464.08814785,445.16065531,461.69507462,28449.19454264,452.52583215,452.94975543,461.69507462
2014-04-06,463.18017969,469.17143136,451.12949084,461.02185305,21720.64420186,460.92126202,460.88580469,461.02185305
2014-04-07,461.84002378,464.27296986,445.42650899,452.90177483,34949.20300877,455.31560897,455.750201,452.90177483
2014-04-08,450.06502404,462.72664785,447.96045109,452.89854533,24290.13784046,453.96422843,453.90327305,452.89854533
2014-04-09,454.86144503,464.36920219,442.96255111,449.30209549,30135.24576405,450.42816196,451.07798062,449.30209549
2014-04-10,449.71713845,449.71713845,358.70183911,366.7656655,149892.25002902,401.8361992,409.43261084,366.7656655
2014-04-11,364.25410409,430.12896628,349.1995274,421.7872042,151050.9497576,403.99657843,403.60223557,421.7872042
2014-04-12,421.78813041,442.87849029,417.05265929,422.20811594,46929.0954315,428.19537664,426.82354193,422.20811594
2014-04-13,421.46024887,432.09183453,395.4091674,414.53881419,53934.63242879,416.39371548,417.34547776,414.53881419
2014-04-14,414.25747974,469.66222688,407.76146335,458.40993411,111601.56954169,450.10966711,445.36719027,458.40993411
2014-04-15,459.04068231,525.90213065,454.22507175,521.64049935,106453.57102544,487.68955593,487.8842604,521.64049935
2014-04-16,522.03383681,546.65636538,496.76099206,528.22791349,107650.06179653,518.21427038,518.2319153,528.22791349
2014-04-17,528.38335214,534.04972827,484.25208739,495.85680143,69639.91716251,507.59772962,506.05067184,495.85680143
2014-04-18,496.72996549,500.53262755,472.61943652,480.70761067,40426.98246685,488.10161486,486.68132304,480.70761067
2014-04-19,480.41052636,507.03652664,470.77842932,502.30937637,39646.70116093,491.84980999,491.91903584,502.30937637
2014-04-20,501.42609767,512.65678732,491.45322444,498.97754757,23961.76875437,503.40704659,502.80409895,498.97754757
2014-04-21,498.78311663,510.42351245,492.94418937,496.12340416,30908.04816992,500.69304973,501.05334617,496.12340416
2014-04-22,495.62938581,513.45823731,488.51601559,490.11233704,25861.67019329,495.90453096,495.72015488,490.11233704
2014-04-23,490.09489264,500.23699644,486.24397532,491.53440769,20876.20369085,491.02156366,490.97109336,491.53440769
2014-04-24,491.79083813,508.24863208,482.89775041,501.9926065,27346.08180206,491.65360227,491.50429803,501.9926065
2014-04-25,501.86860889,509.28654823,442.73460448,462.35911719,101986.36161929,460.67190787,465.29697873,462.35911719
2014-04-26,461.31251432,467.15730005,448.78327451,458.60881254,28149.12199835,455.48610077,456.83738207,458.60881254
2014-04-27,458.83289472,463.87762232,437.88833947,437.97528666,25240.2804922,452.30039107,452.71469987,437.97528666
2014-04-28,437.68153038,448.14794318,423.16128403,440.40207772,54794.92640537,437.04140189,436.28915245,440.40207772
2014-04-29,440.78077442,460.79428513,434.27308842,447.2562249,36852.8086142,444.83278574,445.01891783,447.2562249
2014-04-30,447.4599648,460.78503322,436.49012948,448.1878155,35624.19797919,446.48840588,446.52581951,448.1878155
2014-05-01,450.06321746,461.9789404,448.02590991,461.15662569,29669.84361296,455.13014853,455.10032667,461.15662569
2014-05-02,461.28397609,465.95370357,443.85769235,449.83068378,24272.25225539,450.89278715,450.92384625,449.83068378
2014-05-03,450.99312953,451.90521993,433.68344238,437.87579142,23924.47051102,442.34019291,442.35445972,437.87579142
2014-05-04,437.6232569,439.09225864,430.48712553,434.81494994,12864.49560238,434.77137528,434.76303486,434.81494994
2014-05-05,435.76012677,439.98985785,427.44037039,431.52369792,24150.66304684,431.60106791,431.78952712,431.52369792
2014-05-06,431.80861468,432.88466646,418.7354763,429.13808541,30569.07874478,427.31297002,427.04088348,429.13808541
2014-05-07,429.13808541,447.09138871,422.07120395,439.72026304,42201.39067902,438.48428655,437.0726015,439.72026304
2014-05-08,438.4884655,447.02301303,438.15850431,438.99919385,21352.07496935,442.18207212,441.90187733,438.99919385
2014-05-09,437.51577277,464.5406934,436.82808173,450.6038592,25042.71340587,446.24007892,445.73293589,450.6038592
2014-05-10,450.0374131,461.37870316,448.45751848,453.86099001,15908.61267236,452.99128611,452.98209379,453.86099001
2014-05-11,453.70430539,464.94110769,434.04262447,438.85263914,29164.93468819,443.5810566,445.57661537,438.85263914
2014-05-12,438.84498945,452.07226057,433.04677886,440.17771092,18609.72892055,439.40760114,439.8261417,440.17771092
2014-05-13,440.72897323,450.95247116,436.01022766,439.472309,21658.91256801,441.03907832,441.06879631,439.472309
2014-05-14,439.47177647,447.37468582,437.67864753,442.26510954,23017.67072317,442.21392322,442.09324717,442.26510954
2014-05-15,443.27247098,450.24295005,442.30781712,449.35660703,19421.42681554,447.27489188,447.26225315,449.35660703
2014-05-16,449.40400428,451.74016145,444.54854882,447.50907256,17256.9724465,448.64623754,448.67055999,447.50907256
2014-05-17,447.08937865,452.62139785,444.21622197,450.23743531,9874.59547909,447.61872977,447.98893132,450.23743531
2014-05-18,450.48083141,451.54742837,444.49063367,446.41517202,8268.9234383,447.68465941,447.72021278,446.41517202
2014-05-19,446.51975279,449.80819748,442.28385282,446.86994008,15192.93740519,445.64571172,445.60140156,446.86994008
2014-05-20,447.23130892,491.62677832,445.69947649,486.62423088,84195.45946183,471.76888681,464.18355113,486.62423088
2014-05-21,486.25148189,502.51380181,485.54767025,488.90885792,30755.56969482,491.26535191,491.19832573,488.90885792
2014-05-22,489.0648445,525.83836886,487.36842415,524.29238002,64146.26424264,510.88266479,507.41760243,524.29238002
2014-05-23,525.10916221,544.60934367,520.82948514,521.79190939,71094.10178595,528.8808626,529.14559629,521.79190939
2014-05-24,521.29666443,528.98233174,513.75648606,526.71209681,22992.76021738,520.63463273,521.02441132,526.71209681
2014-05-25,526.60506506,579.18409988,525.86633866,573.05298929,83288.77498452,565.37291373,559.70502642,573.05298929
2014-05-26,572.71676612,588.7787146,565.56482799,583.67602109,63241.55991921,580.85950271,580.91577566,583.67602109
2014-05-27,583.85570672,589.81161287,555.2609335,571.60223634,77476.06254725,573.69333297,574.17417242,571.60223634
2014-05-28,571.50837896,584.54930066,562.71676123,576.47204656,41736.99526566,573.47209848,572.96388084,576.47204656
2014-05-29,576.10955958,577.65094831,560.74272457,570.14641887,39582.37508639,568.33513745,568.37070583,570.14641887
2014-05-30,569.93123989,621.30317103,567.80422358,618.34213882,84734.50434359,598.54904446,592.97693953,618.34213882
2014-05-31,617.53022564,630.02458639,607.48639724,630.02458639,41119.53275874,618.25434402,618.90240675,630.02458639
2014-06-01,628.99521156,673.94425896,621.49398797,631.30188243,102628.09231352,646.77294343,646.24804146,631.30188243
2014-06-02,631.19085073,666.73133081,620.06181292,660.08000071,76465.3516892,635.02533861,635.81090672,660.08000071
