Date,A,AAPL,ABC,ABT,ACE,ACI,ADBE,ADI,ADM,ADP,ADSK,AEE,AEO,AEP,AES,AET,AFL,AGN,AIG,AIV,AKAM,ALL,ALTR,ALXN,AMAT,AMD,AMGN,AMT,AMZN,AN,ANF,ANN,AON,APA,APC,APD,APH,APOL,ARG,ARNA,ATI,ATVI,AVB,AVP,AVY,AXP,AZO,BA,BAC,BAX,BBBY,BBT,BBY,BCR,BDX,BEAM,BEN,BHI,BIG,BIIB,BK,BKS,BLK,BLL,BMS,BMY,BRCM,BSX,BWA,BXP,C,CA,CAG,CAH,CAM,CAMP,CAT,CB,CCE,CCI,CCL,CELG,CERN
12/27/00,38.16454398,0.951645708,10.79057763,14.2251791,30.51139557,56.29382201,32.54437186,39.84347134,10.21248854,34.54550615,6.019468637,19.62771195,6.126963924,22.09743768,42.98672956,9.351261281,25.96897728,49.51507745,1457.701884,14.85115044,24.94,28.63752407,25.25701573,16.25,15.7191577,14.63,57.47391593,32.70735078,16.88,5.875,15.50509167,10.97333333,26.21924139,26.83853372,31.95553576,28.23119902,4.021737245,22.02666667,5.297745664,140.6,10.31607886,1.142640424,24.2588943,16.73804081,33.30067222,36.85236439,27.5,43.86628775,15.10828253,17.13732316,23.37835779,21.13253563,8.955959619,19.78633576,25.72829494,16.54692387,9.750731012,34.88910761,9.22694336,66.64666667,39.03807174,8.564280324,30.01582065,2.503512387,10.39244585,37.2185457,55.72549911,6.53,4.257456161,20.90540144,352.3929886,14.80393831,14.5554085,38.68834881,16.2975,9,15.16336027,23.03059184,14.51921217,22.79720957,18.80560378,3.8125,6.33625
12/28/00,37.73473235,0.951645708,10.95927803,14.20760268,30.64022623,60.48235043,30.62152119,38.72475616,10.44086005,34.85900621,6.445087632,19.39163981,6.111330289,21.69181096,43.13273382,9.308063137,26.1727126,51.62189158,1451.255765,15.04112455,23.88,28.51281333,26.38456108,17.375,15.67147572,14.31,58.13011073,33.66375883,17.38,5.938,14.7202112,11.52888889,25.98574628,27.35173515,33.11007547,28.14408637,4.175561355,22.13777778,5.40264321,148.1,10.66577645,1.13273754,24.62831909,17.14628571,33.96046124,37.41356791,27.63,44.81126866,15.10828253,17.4323534,24.11662172,20.99441448,9.561951653,20.35363933,26.78029633,17.29853914,9.75843504,35.30014799,10.05156675,65.58333333,38.98981702,9.576606604,31.65782396,2.540613409,10.92774708,37.89628125,57.66350814,6.78,4.324485689,21.17032619,354.9555949,15.67294872,14.58899791,39.64220357,16.9225,9.281,15.20485999,22.81751404,14.47321678,23.06839664,20.39000766,3.97625,6.18
12/29/00,37.35267756,0.956143696,10.51774117,14.19002627,30.37540764,59.18390662,28.91232059,36.70963459,10.70491461,34.8205062,6.552100408,19.5223226,6.004737318,21.43368486,42.55640119,9.335346175,26.26366587,50.63277697,1443.93063,15.05921732,21.06,28.591578,23.73257442,16.235,15.17478848,13.81,55.94279471,34.17805373,15.56,6,14.80906559,11.08444444,25.79744377,26.18277635,31.44240701,27.59884097,4.601806792,21.86222222,5.717335848,155,11.10639541,1.152543308,24.69235272,16.56505569,34.15964283,38.06484113,28.5,45.19473917,14.80811798,17.36941362,22.02979568,20.61320011,9.896753882,20.16309462,26.3991364,17.08216505,9.784115132,34.16567653,9.995150099,63.18666667,38.04540314,8.942215469,30.6507286,2.476627589,10.63000557,38.25325646,52.01046584,6.845,4.324485689,20.5789763,353.639662,14.99619725,14.5554085,38.01301965,16.515,9.25,15.10270683,22.47710926,14.56520756,23.67200656,20.59725036,4.0625,5.78125
1/2/01,34.71240611,0.956143696,10.4011088,14.09921479,29.52369381,55.74931331,23.22450842,33.70488036,10.44086005,34.13300608,6.24808684,19.05017833,5.916620463,21.00040177,39.76695128,9.22166685,25.3323044,47.78412688,1419.318176,14.94462977,19.75,26.91126488,23.05604722,15.39,15.69531671,14.38,55.01537271,32.70735078,13.88,5.438,13.18747291,10.77777778,25.27772885,26.45838452,30.63732568,27.22188119,4.498474565,20.44444444,6.923238037,141.3,10.62381274,1.066464396,24.3820359,16.34709443,33.84842159,36.02788021,27.88,42.45566407,15.08891708,17.62904023,20.97653914,19.95574345,9.374462405,19.92058317,26.06371567,17.3668678,9.630034579,34.83978276,9.995150099,59.25,37.91442603,8.773494422,29.19117009,2.389520844,10.19606315,36.99090934,47.13758053,6.75,4.297457654,20.48909111,349.7611228,14.37327829,14.30908621,37.10494992,16.375,8.375,14.78347819,21.68196528,14.08992184,22.4122989,18.92593825,4.0475,5.39125
1/3/01,38.29416971,1.05188658,10.6093809,13.78576871,28.18528636,56.54513371,28.79580608,39.08331872,9.991253638,33.41250595,6.656681075,18.23235699,6.777891662,20.16610135,38.37606854,9.435383981,24.64833582,47.60608625,1405.546922,15.02001632,24.25,26.7471718,28.86516084,17.0325,19.72047008,16.25,58.67256511,35.24273439,17.56,5.813,14.99417891,12.58222222,25.70705857,24.71343529,28.5759636,27.43055536,4.61589755,20.86222222,6.766311308,126.3,10.49092766,1.147210986,24.3820359,16.06685852,35.01238902,38.81311248,28.75,42.83913459,16.11851377,16.98980804,24.42177081,20.68502311,11.55067689,19.8383025,25.20229424,17.58324189,10.26946888,33.75463615,10.52170551,62.10333333,38.60377923,9.468625134,29.05251203,2.534161057,10.43362287,34.70678536,66.1895095,6.75,4.588279316,20.28566675,380.5123977,16.38815197,13.40217229,36.15109517,14.765,9,14.84413163,21.38833368,14.13591723,24.54680355,20.22287645,3.75,6.7575
1/4/01,39.74051996,1.096223888,9.736720789,12.52319618,26.66079017,56.29382201,26.71340312,37.3837322,10.0340733,31.17950555,7.14417145,16.88758893,7.133201562,19.15664393,38.27617088,8.896543981,23.69514556,46.24110809,1303.874047,15.00192355,20.88,24.9027656,26.66419232,14.9075,17.63438368,16.69,54.84913669,35.69387026,15.5,5.875,16.84531211,12.44444444,25.56394866,23.54073939,26.98349504,27.80751514,4.814342395,21.30666667,6.871208854,128.8,10.40700024,1.252333905,24.2588943,15.28842545,34.89412495,37.59890178,29,41.7708953,16.6220156,16.02997633,23.62444577,20.92811633,12.86979767,19.05447086,24.30275682,17.68573488,10.08970823,32.8339057,11.10467758,55.33333333,38.77611753,9.384264611,28.73870695,2.523944834,10.19606315,32.75871703,62.1029729,7.5,4.655308844,20.13428118,385.7068698,19.90264538,12.73598244,33.57568733,14.485,8.875,15.54324235,19.89419058,13.99026516,25.80651122,20.22287645,3.16375,6.625
1/5/01,37.56417218,1.05188658,9.397237262,12.59643125,27.15464105,58.38808622,25.59516764,34.15666919,9.855658053,30.18400538,7.068610442,16.86229549,6.600236712,18.81093934,39.48262718,8.710109887,23.42228575,46.12241434,1287.465744,14.43803215,19.44,24.98153028,26.43868325,12.6875,16.96286254,16,51.01695901,32.59907817,14.56,5.875,16.51951267,11.75111111,24.43413361,25.17538096,28.19996408,27.4709439,4.410407326,21.39111111,6.398750307,131.3,10.09926636,1.242431021,23.67274031,15.39567623,32.67822975,35.77411655,28.56,40.23016555,15.49236406,16.32500657,22.94524295,20.50822804,13.37200102,18.59543134,23.8682345,17.68573488,9.98955587,32.57906066,11.17049701,51.68666667,37.61111062,8.479919801,26.08960827,2.490069988,9.60058012,33.40807314,53.86798248,7.78,4.459625867,19.30639133,371.8549442,18.02619813,13.08867119,35.19724041,14.2025,8.375,14.64620988,19.52260369,13.89827437,22.79720957,20.05574524,3.08625,6.375
1/8/01,36.32931653,1.064095404,9.972068265,12.46753753,27.33357252,57.34095411,24.63100016,32.98775525,10.48367971,32.38400577,7.022298856,17.36394878,6.742360672,19.12898756,40.34328391,8.639628706,23.42228575,45.87513568,1295.669896,14.3626456,18.63,26.05141715,26.50182579,10.9225,18.1787529,16.19,51.34943105,32.53591915,14.94,5.813,15.22371943,11.94666667,24.95384853,25.43198167,28.31939922,27.43055536,4.594761413,22.02666667,6.503647853,117.5,9.749568771,1.237860459,23.58407836,15.91463161,34.07872531,33.95626966,28.63,40.40135774,15.57305345,16.71838022,22.75821609,20.30380874,12.57517171,18.62141471,24.05881447,17.43519646,9.979283833,32.88323054,11.33974696,49.73,37.43877232,8.395559278,26.63694271,2.480391461,9.641757138,33.7976868,57.85545152,7.75,4.500708481,19.04146657,369.7078957,18.88751818,13.32939525,35.48339684,14.6725,8.688,14.60471016,19.86300846,13.79861769,23.34833167,19.88861403,2.97625,6.36
1/9/01,36.15875636,1.104577294,9.997060917,12.74290138,26.12399574,57.59226582,24.75524855,32.90170024,10.48367971,33.37950594,8.089902778,17.33865533,6.679826129,19.47469216,40.96572314,8.569147524,23.69514556,46.24110809,1274.573506,14.39883114,20.56,25.2703341,26.05080765,11.75,17.28471587,16.75,54.24543747,32.1479423,16.38,5.75,15.36440555,12.39111111,24.81073862,24.8712616,27.27102408,26.46123021,4.53604992,23.28,5.664467485,118.1,9.658647398,1.237860459,23.70721996,16.13259287,32.98945098,32.56860029,28.44,40.36027162,15.16960647,16.89146463,21.90182993,19.67950115,13.47578971,18.83794278,24.8744967,16.973978,9.766139068,33.81218181,11.28333031,47.83333333,36.62533554,8.014249712,26.49828465,2.503512387,9.344015623,34.57691414,60.0597046,7.875,4.324485689,19.13135176,361.4659999,20.37944754,13.54212814,36.10531014,14.6875,7.938,14.58555644,19.24456315,13.99026516,24.16189288,19.88861403,2.57875,6.3675
1/10/01,37.73473235,1.064095404,10.3615371,12.52319618,26.03810863,58.13677451,22.73745475,35.27538436,10.48367971,33.48400596,8.638329451,17.15317008,6.573233159,19.18890969,40.25107069,8.639628706,23.92070967,43.89690646,1267.248371,14.28725905,22.13,24.86338326,28.30589834,12.4325,17.78140311,17.13,53.15177946,33.55548622,16.5,5.75,15.6457778,12.36,24.62243611,24.82374295,26.98349504,26.58912728,4.829607383,22.41777778,5.769365031,123.8,9.616683687,1.333080495,23.54959871,16.1741093,33.61189346,32.39514161,28.88,41.34633865,15.6731083,16.70657901,22.52197163,20.53585227,13.49587784,18.59543134,24.34849601,16.93981367,9.930491658,34.017702,10.99184428,52.70666667,36.79767384,8.142477708,27.64403808,2.580940606,9.404197418,34.25483351,68.04702614,7.47,4.276916347,19.18812135,373.5864349,21.29460009,13.60930695,35.79244578,14.61,8.25,14.3844424,19.30952589,13.94426976,24.05691724,19.5543516,3.1175,6.75
